email;faculty_code;department_code
n.balgulov@teachers.tou.edu.kz;FAC01;DEP01
t.nurgulov@teachers.tou.edu.kz;FAC01;DEP02
k.saldinov@teachers.tou.edu.kz;FAC01;DEP03
s.murbayev@teachers.tou.edu.kz;FAC01;DEP04
t.zhanev@teachers.tou.edu.kz;FAC01;DEP05
b.bekgulov@teachers.tou.edu.kz;FAC02;DEP06
d.murdinov@teachers.tou.edu.kz;FAC02;DEP07
t.daubayev@teachers.tou.edu.kz;FAC02;DEP08
zh.shaddinov@teachers.tou.edu.kz;FAC02;DEP09
e.bekgulov@teachers.tou.edu.kz;FAC02;DEP10
s.shadbayev@teachers.tou.edu.kz;FAC03;DEP11
k.aitzhanov@teachers.tou.edu.kz;FAC03;DEP12
b.dauev@teachers.tou.edu.kz;FAC03;DEP13
a.dauov@teachers.tou.edu.kz;FAC03;DEP14
t.erev@teachers.tou.edu.kz;FAC03;DEP15
zh.salzhanov@teachers.tou.edu.kz;FAC04;DEP16
s.balev@teachers.tou.edu.kz;FAC04;DEP17
m.aitsultanov@teachers.tou.edu.kz;FAC04;DEP18
d.akbayev@teachers.tou.edu.kz;FAC04;DEP19
e.aitdinov@teachers.tou.edu.kz;FAC04;DEP20
zh.ulbayev@teachers.tou.edu.kz;FAC05;DEP21
k.bekzhanov@teachers.tou.edu.kz;FAC05;DEP22
d.dauov@teachers.tou.edu.kz;FAC05;DEP23
t.temsultanov@teachers.tou.edu.kz;FAC05;DEP24
k.balzhanov@teachers.tou.edu.kz;FAC05;DEP25
t.balzhanov@teachers.tou.edu.kz;FAC06;DEP26
zh.saldinov@teachers.tou.edu.kz;FAC06;DEP27
s.akbekuly@teachers.tou.edu.kz;FAC06;DEP28
k.ulov@teachers.tou.edu.kz;FAC06;DEP29
m.salsultanov@teachers.tou.edu.kz;FAC06;DEP30
b.daudinov@teachers.tou.edu.kz;FAC07;DEP31
zh.saldinov2@teachers.tou.edu.kz;FAC07;DEP32
t.dosov@teachers.tou.edu.kz;FAC07;DEP33
b.dauov@teachers.tou.edu.kz;FAC07;DEP34
n.aitov@teachers.tou.edu.kz;FAC07;DEP35
e.aitgulov@teachers.tou.edu.kz;FAC01;DEP01
a.nursultanov@teachers.tou.edu.kz;FAC01;DEP02
e.erov@teachers.tou.edu.kz;FAC01;DEP03
t.ulev@teachers.tou.edu.kz;FAC01;DEP04
b.mursultanov@teachers.tou.edu.kz;FAC01;DEP05
d.tembekuly@teachers.tou.edu.kz;FAC02;DEP06
n.bekov@teachers.tou.edu.kz;FAC02;DEP07
m.aitzhanov@teachers.tou.edu.kz;FAC02;DEP08
t.akgulov@teachers.tou.edu.kz;FAC02;DEP09
b.uldinov@teachers.tou.edu.kz;FAC02;DEP10
zh.nurgulov@teachers.tou.edu.kz;FAC03;DEP11
zh.ulsultanov@teachers.tou.edu.kz;FAC03;DEP12
zh.salzhanov2@teachers.tou.edu.kz;FAC03;DEP13
a.dosgulov@teachers.tou.edu.kz;FAC03;DEP14
e.kaibayev@teachers.tou.edu.kz;FAC03;DEP15
n.aitov2@teachers.tou.edu.kz;FAC04;DEP16
a.zhansultanov@teachers.tou.edu.kz;FAC04;DEP17
m.zhandinov@teachers.tou.edu.kz;FAC04;DEP18
k.zhandinov@teachers.tou.edu.kz;FAC04;DEP19
m.zhanev@teachers.tou.edu.kz;FAC04;DEP20
m.salov@teachers.tou.edu.kz;FAC05;DEP21
d.zhanbekuly@teachers.tou.edu.kz;FAC05;DEP22
b.akev@teachers.tou.edu.kz;FAC05;DEP23
zh.erev@teachers.tou.edu.kz;FAC05;DEP24
b.beksultanov@teachers.tou.edu.kz;FAC05;DEP25
m.gazsultanov@teachers.tou.edu.kz;FAC06;DEP26
t.aitzhanov@teachers.tou.edu.kz;FAC06;DEP27
e.zhanev@teachers.tou.edu.kz;FAC06;DEP28
n.gazdinov@teachers.tou.edu.kz;FAC06;DEP29
t.balzhanov2@teachers.tou.edu.kz;FAC06;DEP30
e.kaiev@teachers.tou.edu.kz;FAC07;DEP31
e.gazbekuly@teachers.tou.edu.kz;FAC07;DEP32
k.aitev@teachers.tou.edu.kz;FAC07;DEP33
a.murbekuly@teachers.tou.edu.kz;FAC07;DEP34
e.shadbayev@teachers.tou.edu.kz;FAC07;DEP35
d.gazbayev@teachers.tou.edu.kz;FAC01;DEP01
d.salsultanov@teachers.tou.edu.kz;FAC01;DEP02
n.aitgulov@teachers.tou.edu.kz;FAC01;DEP03
a.bekov@teachers.tou.edu.kz;FAC01;DEP04
d.akdinov@teachers.tou.edu.kz;FAC01;DEP05
zh.temov@teachers.tou.edu.kz;FAC02;DEP06
n.temsultanov@teachers.tou.edu.kz;FAC02;DEP07
t.bekov@teachers.tou.edu.kz;FAC02;DEP08
d.dausultanov@teachers.tou.edu.kz;FAC02;DEP09
s.salgulov@teachers.tou.edu.kz;FAC02;DEP10
k.aitgulov@teachers.tou.edu.kz;FAC03;DEP11
e.bekev@teachers.tou.edu.kz;FAC03;DEP12
b.dosev@teachers.tou.edu.kz;FAC03;DEP13
zh.daubekuly@teachers.tou.edu.kz;FAC03;DEP14
n.zhangulov@teachers.tou.edu.kz;FAC03;DEP15
n.erdinov@teachers.tou.edu.kz;FAC04;DEP16
b.daubayev@teachers.tou.edu.kz;FAC04;DEP17
t.bekbekuly@teachers.tou.edu.kz;FAC04;DEP18
zh.dosev@teachers.tou.edu.kz;FAC04;DEP19
d.akev@teachers.tou.edu.kz;FAC04;DEP20
n.bekgulov@teachers.tou.edu.kz;FAC05;DEP21
s.zhanev@teachers.tou.edu.kz;FAC05;DEP22
a.nurbekuly@teachers.tou.edu.kz;FAC05;DEP23
d.ulbayev@teachers.tou.edu.kz;FAC05;DEP24
a.akbekuly@teachers.tou.edu.kz;FAC05;DEP25
d.shadsultanov@teachers.tou.edu.kz;FAC06;DEP26
zh.aitbekuly@teachers.tou.edu.kz;FAC06;DEP27
m.zhansultanov@teachers.tou.edu.kz;FAC06;DEP28
m.erbekuly@teachers.tou.edu.kz;FAC06;DEP29
zh.zhanov@teachers.tou.edu.kz;FAC06;DEP30
m.baldinov@teachers.tou.edu.kz;FAC07;DEP31
d.salbekuly@teachers.tou.edu.kz;FAC07;DEP32
zh.shadzhanov@teachers.tou.edu.kz;FAC07;DEP33
e.dosbekuly@teachers.tou.edu.kz;FAC07;DEP34
t.temev@teachers.tou.edu.kz;FAC07;DEP35
d.daubayev@teachers.tou.edu.kz;FAC01;DEP01
a.balov@teachers.tou.edu.kz;FAC01;DEP02
n.saldinov@teachers.tou.edu.kz;FAC01;DEP03
a.gazbekuly@teachers.tou.edu.kz;FAC01;DEP04
m.murdinov@teachers.tou.edu.kz;FAC01;DEP05
n.dosev@teachers.tou.edu.kz;FAC02;DEP06
n.tembekuly@teachers.tou.edu.kz;FAC02;DEP07
s.zhanev2@teachers.tou.edu.kz;FAC02;DEP08
k.salbekuly@teachers.tou.edu.kz;FAC02;DEP09
k.gazov@teachers.tou.edu.kz;FAC02;DEP10
t.salev@teachers.tou.edu.kz;FAC03;DEP11
